Transaction_ID,Transaction_Timestamp,Customer_ID,Date_of_Birth,Gender,Sector,Store_or_Service_ID,Store_Type,Payment_Method,Card_Type,Card_Category,Wallet_Provider,Transaction_Amount_GBP,Payment_Status,Transaction_Channel,Government_Service,Crypto_Type,Spending_Limit_Used,Customer_Segment,Store_or_Service_Name,Device_Type,Promo_Code,App_Version,Merchant_Category_Code,Location
T00001,21-08-2025 12:37:21,000641,15-08-1953,Female,Government Services,Citizens Service Center,Trial,Card,Visa,Prepaid,None,120.78,Failed,Online,Yes,None,No,Low,Citizens Service Center,Laptop,NONE,1.0.0,186,Kingsport
T00002,06-03-2025 10:17:12,001904,28-05-1968,Male,Retail,MegaGadgets,Control,Card,Mastercard,Prepaid,None,254.83,Failed,In_Store,No,None,No,,MegaGadgets,Laptop,WINTER25,3.1.0,627,Oakridge
T00003,26-06-2025 01:27:45,000256,09-11-1984,Male,Entertainment,CinemaWorld,Trial,Digital_Wallet,None,None,Wish,4.64,Failed,In_App,No,None,No,Low,CinemaWorld,Computer,SUMMER24,3.2.1,800,Fairview
T00004,02-02-2024 21:34:21,001244,02-05-1960,Male,Retail,FashionPoint,Control,Cryptocurrency,None,None,None,88.23,Failed,In_App,No,Bitcoin,No,Medium,FashionPoint,Laptop,NONE,2.2.0,152,Stonebridge
T00005,19-01-2025 20:56:09,000777,11-11-1967,Female,Retail,FreshFoods,Control,Card,Mastercard,Prepaid,None,125.63,Failed,In_Store,No,None,No,Low,FreshFoods,Mobile,WINTER25,2.1.0,594,Kingsport
T00006,24-07-2024 15:18:44,000437,15-05-1986,Prefer not to say,Retail,SuperMart,Control,Cryptocurrency,None,None,None,109.51,Failed,In_App,No,Ethereum,No,Medium,SuperMart,Mobile,WINTER25,3.1.0,158,Riverton
T00007,05-01-2024 13:49:05,001261,16-04-1955,Female,Retail,GlobalMart,Control,QR_Payment,None,None,None,54.47,Failed,In_App,No,None,No,Medium,GlobalMart,Laptop,WINTER25,2.2.0,109,Johnsville
T00008,30-11-2024 14:45:54,001008,27-08-1976,Female,Entertainment,PlayZone Arcade,Trial,Cryptocurrency,None,None,None,205.95,Failed,In_App,No,Bitcoin,No,Low,PlayZone Arcade,Mobile,SUMMER24,2.1.0,331,Westhaven
T00009,03-11-2024 02:01:21,000767,21-09-1991,Female,Retail,JewelBox,Control,Digital_Wallet,None,None,Wish,405.96,Failed,Online,No,None,No,Low,JewelBox,POS_Terminal,NONE,3.1.0,265,Brandybrug
T00010,01-10-2024 18:09:00,001531,27-02-1998,Male,Retail,TechStore,Trial,Digital_Wallet,None,None,PayPal,95.59,Failed,Online,No,None,No,Low,TechStore,Laptop,WINTER25,3.0.0,861,Riverton
T00011,30-11-2025 19:48:59,000065,04-11-1982,Female,Retail,FreshFoods,Control,Virtual_Card,None,None,None,60.28,Failed,In_App,No,None,No,Low,FreshFoods,POS_Terminal,NONE,1.2.0,432,Stonebridge
T00012,24-01-2025 19:19:19,001487,22-08-1948,Female,Government Services,Fire & Safety Department,Control,Virtual_Card,None,None,None,55.76,Failed,Online,Yes,None,Yes,Medium,Fire & Safety Department,Mobile,SUMMER24,1.2.0,452,Oakridge
T00013,11-01-2024 14:26:05,001572,10-01-1986,Female,Government Services,City Council Office,Trial,QR_Payment,None,None,None,215.4,Failed,In_Store,Yes,None,No,Medium,City Council Office,Mobile,WINTER25,3.1.0,396,Kingsport
T00014,12-01-2025 10:22:39,000170,22-04-1955,Female,Government Services,Water Board,Control,Cryptocurrency,None,None,None,364.9,Failed,Online,Yes,Bitcoin,No,Medium,Water Board,Laptop,WINTER25,1.1.0,984,Kingsport
T00015,28-06-2025 10:45:45,000507,19-08-1995,Male,Government Services,Public Library,Control,Digital_Wallet,None,None,Revolut,353.52,Failed,Online,Yes,None,No,Medium,Public Library,Laptop,SUMMER24,1.2.0,334,Johnsville
