MonthPeriod,Transaction_Channel,Count
2024-01,In_App,149
2024-01,In_Store,149
2024-01,Online,138
2024-02,In_App,126
2024-02,In_Store,137
2024-02,Online,144
2024-03,In_App,141
2024-03,In_Store,153
2024-03,Online,147
2024-04,In_App,133
2024-04,In_Store,135
2024-04,Online,129
2024-05,In_App,122
2024-05,In_Store,132
2024-05,Online,143
2024-06,In_App,130
2024-06,In_Store,132
2024-06,Online,124
2024-07,In_App,137
2024-07,In_Store,132
2024-07,Online,154
2024-08,In_App,124
2024-08,In_Store,143
2024-08,Online,144
2024-09,In_App,120
2024-09,In_Store,140
2024-09,Online,136
2024-10,In_App,151
2024-10,In_Store,128
2024-10,Online,148
2024-11,In_App,165
2024-11,In_Store,126
2024-11,Online,150
2024-12,In_App,136
2024-12,In_Store,145
2024-12,Online,140
2025-01,In_App,141
2025-01,In_Store,162
2025-01,Online,139
2025-02,In_App,127
2025-02,In_Store,125
2025-02,Online,133
2025-03,In_App,132
2025-03,In_Store,142
2025-03,Online,152
2025-04,In_App,148
2025-04,In_Store,138
2025-04,Online,154
2025-05,In_App,137
2025-05,In_Store,146
2025-05,Online,156
2025-06,In_App,138
2025-06,In_Store,122
2025-06,Online,157
2025-07,In_App,156
2025-07,In_Store,132
2025-07,Online,133
2025-08,In_App,140
2025-08,In_Store,149
2025-08,Online,132
2025-09,In_App,134
2025-09,In_Store,121
2025-09,Online,145
2025-10,In_App,133
2025-10,In_Store,153
2025-10,Online,143
2025-11,In_App,133
2025-11,In_Store,157
2025-11,Online,118
2025-12,In_App,150
2025-12,In_Store,147
2025-12,Online,149
