MonthPeriod,Payment_Group,Count
2024-01,Card/Bank Payment,86
2024-01,Mobile/Digital Payment,350
2024-02,Card/Bank Payment,67
2024-02,Mobile/Digital Payment,340
2024-03,Card/Bank Payment,96
2024-03,Mobile/Digital Payment,345
2024-04,Card/Bank Payment,76
2024-04,Mobile/Digital Payment,321
2024-05,Card/Bank Payment,82
2024-05,Mobile/Digital Payment,315
2024-06,Card/Bank Payment,79
2024-06,Mobile/Digital Payment,307
2024-07,Card/Bank Payment,73
2024-07,Mobile/Digital Payment,350
2024-08,Card/Bank Payment,66
2024-08,Mobile/Digital Payment,345
2024-09,Card/Bank Payment,82
2024-09,Mobile/Digital Payment,314
2024-10,Card/Bank Payment,76
2024-10,Mobile/Digital Payment,351
2024-11,Card/Bank Payment,72
2024-11,Mobile/Digital Payment,369
2024-12,Card/Bank Payment,86
2024-12,Mobile/Digital Payment,335
2025-01,Card/Bank Payment,90
2025-01,Mobile/Digital Payment,352
2025-02,Card/Bank Payment,78
2025-02,Mobile/Digital Payment,307
2025-03,Card/Bank Payment,86
2025-03,Mobile/Digital Payment,340
2025-04,Card/Bank Payment,80
2025-04,Mobile/Digital Payment,360
2025-05,Card/Bank Payment,94
2025-05,Mobile/Digital Payment,345
2025-06,Card/Bank Payment,76
2025-06,Mobile/Digital Payment,341
2025-07,Card/Bank Payment,85
2025-07,Mobile/Digital Payment,336
2025-08,Card/Bank Payment,98
2025-08,Mobile/Digital Payment,323
2025-09,Card/Bank Payment,91
2025-09,Mobile/Digital Payment,309
2025-10,Card/Bank Payment,90
2025-10,Mobile/Digital Payment,339
2025-11,Card/Bank Payment,69
2025-11,Mobile/Digital Payment,339
2025-12,Card/Bank Payment,89
2025-12,Mobile/Digital Payment,357
