MonthPeriod,Payment_Method,Count
2024-01,Card,86
2024-01,Cryptocurrency,103
2024-01,Digital_Wallet,85
2024-01,QR_Payment,75
2024-01,Virtual_Card,87
2024-02,Card,67
2024-02,Cryptocurrency,84
2024-02,Digital_Wallet,89
2024-02,QR_Payment,78
2024-02,Virtual_Card,89
2024-03,Card,96
2024-03,Cryptocurrency,98
2024-03,Digital_Wallet,81
2024-03,QR_Payment,63
2024-03,Virtual_Card,103
2024-04,Card,76
2024-04,Cryptocurrency,82
2024-04,Digital_Wallet,82
2024-04,QR_Payment,83
2024-04,Virtual_Card,74
2024-05,Card,82
2024-05,Cryptocurrency,73
2024-05,Digital_Wallet,75
2024-05,QR_Payment,95
2024-05,Virtual_Card,72
2024-06,Card,79
2024-06,Cryptocurrency,76
2024-06,Digital_Wallet,83
2024-06,QR_Payment,86
2024-06,Virtual_Card,62
2024-07,Card,73
2024-07,Cryptocurrency,93
2024-07,Digital_Wallet,79
2024-07,QR_Payment,82
2024-07,Virtual_Card,96
2024-08,Card,66
2024-08,Cryptocurrency,92
2024-08,Digital_Wallet,79
2024-08,QR_Payment,85
2024-08,Virtual_Card,89
2024-09,Card,82
2024-09,Cryptocurrency,81
2024-09,Digital_Wallet,72
2024-09,QR_Payment,85
2024-09,Virtual_Card,76
2024-10,Card,76
2024-10,Cryptocurrency,99
2024-10,Digital_Wallet,92
2024-10,QR_Payment,72
2024-10,Virtual_Card,88
2024-11,Card,72
2024-11,Cryptocurrency,94
2024-11,Digital_Wallet,83
2024-11,QR_Payment,102
2024-11,Virtual_Card,90
2024-12,Card,86
2024-12,Cryptocurrency,77
2024-12,Digital_Wallet,74
2024-12,QR_Payment,100
2024-12,Virtual_Card,84
2025-01,Card,90
2025-01,Cryptocurrency,80
2025-01,Digital_Wallet,85
2025-01,QR_Payment,102
2025-01,Virtual_Card,85
2025-02,Card,78
2025-02,Cryptocurrency,86
2025-02,Digital_Wallet,80
2025-02,QR_Payment,63
2025-02,Virtual_Card,78
2025-03,Card,86
2025-03,Cryptocurrency,74
2025-03,Digital_Wallet,83
2025-03,QR_Payment,95
2025-03,Virtual_Card,88
2025-04,Card,80
2025-04,Cryptocurrency,79
2025-04,Digital_Wallet,96
2025-04,QR_Payment,79
2025-04,Virtual_Card,106
2025-05,Card,94
2025-05,Cryptocurrency,80
2025-05,Digital_Wallet,97
2025-05,QR_Payment,95
2025-05,Virtual_Card,73
2025-06,Card,76
2025-06,Cryptocurrency,88
2025-06,Digital_Wallet,88
2025-06,QR_Payment,71
2025-06,Virtual_Card,94
2025-07,Card,85
2025-07,Cryptocurrency,85
2025-07,Digital_Wallet,89
2025-07,QR_Payment,86
2025-07,Virtual_Card,76
2025-08,Card,98
2025-08,Cryptocurrency,74
2025-08,Digital_Wallet,84
2025-08,QR_Payment,79
2025-08,Virtual_Card,86
2025-09,Card,91
2025-09,Cryptocurrency,79
2025-09,Digital_Wallet,65
2025-09,QR_Payment,78
2025-09,Virtual_Card,87
2025-10,Card,90
2025-10,Cryptocurrency,92
2025-10,Digital_Wallet,82
2025-10,QR_Payment,80
2025-10,Virtual_Card,85
2025-11,Card,69
2025-11,Cryptocurrency,82
2025-11,Digital_Wallet,82
2025-11,QR_Payment,87
2025-11,Virtual_Card,88
2025-12,Card,89
2025-12,Cryptocurrency,94
2025-12,Digital_Wallet,95
2025-12,QR_Payment,76
2025-12,Virtual_Card,92
