MonthPeriod,Transaction_Count,Total_Value,Avg_Value,Success_Rate
2024-01,436,113305.16,259.8742201834863,0.7591743119266054
2024-02,407,102972.27,253.0031203931204,0.7985257985257985
2024-03,441,112587.87,255.3012925170068,0.780045351473923
2024-04,397,101321.27,255.2173047858942,0.7632241813602015
2024-05,397,103344.2,260.31284634760704,0.7959697732997482
2024-06,386,92700.23,240.15603626943005,0.7927461139896373
2024-07,423,104665.93000000001,247.43718676122933,0.7588652482269503
2024-08,411,105903.03,257.67160583941603,0.7688564476885644
2024-09,396,99902.23,252.27835858585857,0.7853535353535354
2024-10,427,107554.58,251.88426229508198,0.7681498829039812
2024-11,441,112872.03,255.9456462585034,0.7551020408163265
2024-12,421,106610.57,253.23175771971498,0.7838479809976246
2025-01,442,106849.46,241.7408597285068,0.7986425339366516
2025-02,385,97721.57,253.82225974025977,0.7792207792207793
2025-03,426,110699.73,259.85852112676054,0.744131455399061
2025-04,440,109312.34,248.43713636363637,0.8022727272727272
2025-05,439,110014.85,250.60330296127563,0.7722095671981777
2025-06,417,105784.18,253.67908872901677,0.7673860911270983
2025-07,421,110023.84,261.3392874109264,0.7624703087885986
2025-08,421,103749.25,246.43527315914488,0.7363420427553444
2025-09,400,101875.68,254.68919999999997,0.76
2025-10,429,117334.89,273.5079020979021,0.7855477855477856
2025-11,408,106003.19,259.81174019607846,0.7867647058823529
2025-12,446,112451.62,252.13367713004484,0.8340807174887892
