Transaction_Timestamp,MonthPeriod,Sector,Payment_Method,Transaction_Channel,Payment_Group,Transaction_Amount_GBP,Payment_Status,Customer_Segment,Device_Type,DayOfWeek,DayOfWeekNum,Hour,Quarter,Location
2025-08-21 12:37:21,2025-08,Government Services,Card,Online,Card/Bank Payment,120.78,Failed,Low,Laptop,Thursday,3,12,3,Kingsport
2025-03-06 10:17:12,2025-03,Retail,Card,In_Store,Card/Bank Payment,254.83,Failed,Unknown,Laptop,Thursday,3,10,1,Oakridge
2025-06-26 01:27:45,2025-06,Entertainment,Digital_Wallet,In_App,Mobile/Digital Payment,4.64,Failed,Low,Computer,Thursday,3,1,2,Fairview
2024-02-02 21:34:21,2024-02,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,88.23,Failed,Medium,Laptop,Friday,4,21,1,Stonebridge
2025-01-19 20:56:09,2025-01,Retail,Card,In_Store,Card/Bank Payment,125.63,Failed,Low,Mobile,Sunday,6,20,1,Kingsport
2024-07-24 15:18:44,2024-07,Retail,Cryptocurrency,In_App,Mobile/Digital Payment,109.51,Failed,Medium,Mobile,Wednesday,2,15,3,Riverton
2024-01-05 13:49:05,2024-01,Retail,QR_Payment,In_App,Mobile/Digital Payment,54.47,Failed,Medium,Laptop,Friday,4,13,1,Johnsville
2024-11-30 14:45:54,2024-11,Entertainment,Cryptocurrency,In_App,Mobile/Digital Payment,205.95,Failed,Low,Mobile,Saturday,5,14,4,Westhaven
2024-11-03 02:01:21,2024-11,Retail,Digital_Wallet,Online,Mobile/Digital Payment,405.96,Failed,Low,POS_Terminal,Sunday,6,2,4,Brandybrug
2024-10-01 18:09:00,2024-10,Retail,Digital_Wallet,Online,Mobile/Digital Payment,95.59,Failed,Low,Laptop,Tuesday,1,18,4,Riverton
2025-11-30 19:48:59,2025-11,Retail,Virtual_Card,In_App,Mobile/Digital Payment,60.28,Failed,Low,POS_Terminal,Sunday,6,19,4,Stonebridge
2025-01-24 19:19:19,2025-01,Government Services,Virtual_Card,Online,Mobile/Digital Payment,55.76,Failed,Medium,Mobile,Friday,4,19,1,Oakridge
